mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate_init,param_clf__hidden_layer_sizes,param_clf__alpha,param_clf__activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
150.1554584980011,30.09699649332003,0.3523230075836182,0.05244652415475341,0.00046415888336127773,"(256, 256)",0.001,tanh,"{'clf__learning_rate_init': 0.00046415888336127773, 'clf__hidden_layer_sizes': (256, 256), 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.6653848407605989,0.7983473419158067,0.750754947969802,0.7000098199672669,0.7535830448011751,0.73361599908293,0.04618969467179831,25
61.67699141502381,5.921064087930742,0.28011131286621094,0.029601548153134732,0.01,"(128,)",0.00021544346900318823,tanh,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.00021544346900318823, 'clf__activation': 'tanh'}",0.6514861855790923,0.7925275738553748,0.7566244984016868,0.6939148936170212,0.7591193648795159,0.7307345032665382,0.050853427221212937,28
123.10862889289857,42.377744077584296,0.3145150184631348,0.027256838260359146,0.005994842503189409,"(256, 256)",4.641588833612772e-05,relu,"{'clf__learning_rate_init': 0.005994842503189409, 'clf__hidden_layer_sizes': (256, 256), 'clf__alpha': 4.641588833612772e-05, 'clf__activation': 'relu'}",0.6555916908382409,0.8210554314288754,0.7504862953138816,0.6952864157119476,0.745811912006435,0.7336463490598761,0.05592127779081731,24
81.69220280647278,20.931955982694493,0.24660100936889648,0.009558302092592714,0.00046415888336127773,"(128,)",2.1544346900318822e-06,tanh,"{'clf__learning_rate_init': 0.00046415888336127773, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 2.1544346900318822e-06, 'clf__activation': 'tanh'}",0.6626490580410769,0.8048196616661347,0.7909440250289057,0.7154500818330605,0.7675619906970237,0.7482849634532402,0.052534196791555215,8
94.43692359924316,16.640096368603952,0.2475749969482422,0.006788964818127586,0.0002782559402207126,"(128, 128)",1e-05,tanh,"{'clf__learning_rate_init': 0.0002782559402207126, 'clf__hidden_layer_sizes': (128, 128), 'clf__alpha': 1e-05, 'clf__activation': 'tanh'}",0.6691387594855117,0.7876866333297868,0.7381010678092906,0.6842553191489361,0.7558738152694715,0.7270111190085993,0.04430536910217324,33
96.65107955932618,9.49057768896764,0.2473140239715576,0.014754453783434127,0.0001668100537200059,"(128, 128)",0.001,tanh,"{'clf__learning_rate_init': 0.0001668100537200059, 'clf__hidden_layer_sizes': (128, 128), 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.6769285986346723,0.7960314927119907,0.7470176154526287,0.7001080196399345,0.7717343405728676,0.7383640134024188,0.0441629550194875,19
58.8638295173645,9.860953671764523,0.23843345642089844,0.01756594339662085,0.003593813663804626,"(128, 128)",1e-06,relu,"{'clf__learning_rate_init': 0.003593813663804626, 'clf__hidden_layer_sizes': (128, 128), 'clf__alpha': 1e-06, 'clf__activation': 'relu'}",0.6487980135360816,0.7819555271837428,0.7371828878460178,0.682468085106383,0.7428146749204351,0.7186438377185321,0.04716655596159381,38
191.42297930717467,25.04650623774164,0.3049786567687988,0.044176350808533354,0.0001668100537200059,"(256, 128)",2.1544346900318823e-05,relu,"{'clf__learning_rate_init': 0.0001668100537200059, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 2.1544346900318823e-05, 'clf__activation': 'relu'}",0.6748923266238902,0.8194382381104374,0.7704346051826159,0.7005597381342064,0.769695379988109,0.7470040576078517,0.052283407947402355,9
72.50066456794738,8.250834942167918,0.2586402893066406,0.023901362094525334,0.002154434690031882,"(128,)",0.0001,relu,"{'clf__learning_rate_init': 0.002154434690031882, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.6541487211039817,0.8030996205270065,0.7572366183772019,0.697911620294599,0.7719301927045081,0.7368653546014594,0.05364875416133259,21
64.94071917533874,8.279946895165937,0.252366828918457,0.01159318445358779,0.002154434690031882,"(128,)",2.1544346900318823e-05,tanh,"{'clf__learning_rate_init': 0.002154434690031882, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 2.1544346900318823e-05, 'clf__activation': 'tanh'}",0.6563021886261757,0.7991452991452991,0.7603346255866149,0.6919050736497545,0.7377015353408177,0.7290777444697324,0.05027705955718918,31
136.4364296913147,47.94993134578816,0.3203211784362793,0.059619632047230135,0.002154434690031882,"(256, 256)",0.001,relu,"{'clf__learning_rate_init': 0.002154434690031882, 'clf__hidden_layer_sizes': (256, 256), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.6604223433242506,0.7983508883923821,0.7499387880024484,0.6999410801963993,0.7568530759276746,0.733101235168631,0.047931174757570645,26
57.84263143539429,13.0587993279372,0.3031476497650146,0.06838306263903661,0.005994842503189409,"(128,)",2.1544346900318822e-06,tanh,"{'clf__learning_rate_init': 0.005994842503189409, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 2.1544346900318822e-06, 'clf__activation': 'tanh'}",0.6542219682986141,0.7980742632194915,0.7529517785485955,0.706834697217676,0.7384254887559891,0.7301016392080732,0.047980762814043676,30
150.27855563163757,21.202891300295462,0.30333733558654785,0.021528017126287616,0.000774263682681127,"(256, 128)",4.641588833612772e-05,tanh,"{'clf__learning_rate_init': 0.000774263682681127, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 4.641588833612772e-05, 'clf__activation': 'tanh'}",0.659488441592687,0.8002659857431641,0.7406073590423723,0.6882258592471358,0.75468121568216,0.7286537722615039,0.04973305597871534,32
